pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,2019/9/24,84.5,-3.3625,5.1616,Max Scherzer,516416,453286,null,ball,,,,,14,null,R,R,R,WSH,PHI,B,null,null,1,2,2019,-1.2343,0.1774,0.0201,0.667,null,null,null,0,6,Top,null,null,,,543228,,190925_005416,10.2426,-122.5355,-4.4229,-14.2928,22.8613,-29.7831,3.1432,1.5051,null,null,null,84.135,1529,6.117,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3829,null,null,null,null,null,null,null,43,5,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019/9/24,95.3,-3.2223,5.2544,Max Scherzer,516416,453286,null,foul,,,,,12,null,R,R,R,WSH,PHI,S,null,null,1,2,2019,-1.0049,1.1572,0.0719,3.6674,null,null,null,0,6,Top,null,null,,,543228,,190925_005357,10.8161,-138.3714,-1.0837,-15.1646,30.2304,-17.4203,3.1432,1.5338,280,88.4,25.6,94.797,2526,6.071,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.4284,null,null,null,null,null,null,null,43,4,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
CH,2019/9/24,84.9,-3.336,5.2556,Max Scherzer,516416,453286,null,ball,,,,,14,null,R,R,R,WSH,PHI,B,null,null,0,2,2019,-1.3579,0.123,1.3793,0.7315,null,null,null,0,6,Top,null,null,,,543228,,190925_005331,13.6788,-122.8706,-4.4653,-16.3067,22.2959,-30.3095,3.1144,1.4764,null,null,null,84.781,1474,6.325,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.1749,null,null,null,null,null,null,null,43,3,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019/9/24,85.5,-3.4407,5.1855,Max Scherzer,516416,453286,null,foul,,,,,6,null,R,R,R,WSH,PHI,S,null,null,0,1,2019,0.1939,0.2771,0.6443,2.4399,null,null,null,0,6,Top,null,null,,,543228,,190925_005307,9.2093,-124.2896,-0.7845,0.3408,22.5368,-29.3613,3.1144,1.5051,267,84.3,22.9,85.558,2660,6.17,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3297,null,null,null,null,null,null,null,43,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019/9/24,84.7,-3.579,5.205,Max Scherzer,516416,453286,null,called_strike,,,,,8,null,R,R,R,WSH,PHI,S,null,null,0,0,2019,0.0274,0.2509,-0.0493,1.8253,null,null,null,0,6,Top,null,null,,,543228,,190925_005245,8.1652,-123.2305,-2.1244,-1.1088,20.9702,-29.4383,3.1432,1.5624,null,null,null,84.982,2570,6.162,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3371,null,null,null,null,null,null,null,43,1,Slider,2,4,4,2,4,2,4,2,Standard,Standard
FC,2019/9/24,90.1,-3.5126,5.0512,Max Scherzer,489149,453286,strikeout,swinging_strike,,,,,14,Logan Morrison strikes out swinging.  ,R,L,R,WSH,PHI,S,2,null,1,2,2019,0.051,0.4036,0.8185,1.3478,null,514917,null,2,5,Top,null,null,,,543228,,190925_004242,10.5868,-130.8645,-4.1113,-1.3572,24.0192,-26.982,3.4595,1.6484,null,null,null,90.06,2322,6.078,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.4213,null,null,0,1,0,0,null,39,4,Cutter,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019/9/24,95.2,-3.3303,5.2843,Max Scherzer,489149,453286,null,foul,,,,,12,null,R,L,R,WSH,PHI,S,null,null,1,1,2019,-1.0306,1.3053,0.097,3.5384,null,514917,null,2,5,Top,null,null,,,543228,,190925_004156,11.232,-138.1666,-1.8089,-15.611,30.7249,-15.3865,3.402,1.5624,null,null,null,94.742,2401,6.164,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3359,null,null,null,null,null,null,null,39,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019/9/24,84,-3.5732,5.0883,Max Scherzer,489149,453286,null,foul,,,,,13,null,R,L,R,WSH,PHI,S,null,null,1,0,2019,-1.3262,0.5274,-0.5719,1.5509,null,514917,null,2,5,Top,null,null,,,543228,,190925_004122,9.4804,-121.9276,-2.813,-14.9118,22.6409,-26.6379,3.5459,1.6771,4,48.5,-21.7,83.648,1463,6.071,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.4288,null,null,null,null,null,null,null,39,2,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019/9/24,85.7,-3.2493,5.3307,Max Scherzer,489149,453286,null,ball,,,,,13,null,R,L,R,WSH,PHI,B,null,null,0,0,2019,-1.4017,0.6476,-1.7886,1.759,null,514917,null,2,5,Top,null,null,,,543228,,190925_004058,6.2618,-124.6471,-3.4626,-15.8153,24.9995,-24.9725,3.5171,1.7344,null,null,null,85.606,1437,6.25,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.2495,null,null,null,null,null,null,null,39,1,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019/9/24,94.2,-3.3235,5.1541,Max Scherzer,514917,453286,double,hit_into_play_no_out,,,,,4,Cesar Hernandez doubles (29) on a sharp line drive to center fielder Victor Robles.  ,R,L,R,WSH,PHI,X,8,line_drive,3,1,2019,-1.2143,1.2303,-0.5084,2.3738,null,null,null,2,5,Top,84.65,57.94,,,543228,,190925_004011,9.9206,-136.7531,-4.1723,-17.2895,30.1204,-16.179,3.3732,1.6484,347,101.9,15.9,93.668,2426,6.104,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.396,0.513,0.59,1.25,1,1,1,4,38,5,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
